game_year,game_date,game_type,home_team,away_team,pitcher,pitch_type,pitch_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y
2024,2024-10-30,W,NYY,LAD,656427,FF,4-Seam Fastball,103.8,37.0,397.0,207.47,62.49
2024,2024-10-07,D,NYY,KC,668674,FF,4-Seam Fastball,106.8,39.0,375.0,211.15,72.85
2024,2024-09-28,R,NYY,PIT,681347,CU,Curveball,104.2,34.0,406.0,224.58,66.39
2024,2024-09-19,R,SEA,NYY,669302,FC,Cutter,105.7,25.0,389.0,191.26,55.67
2024,2024-08-28,R,WSH,NYY,669022,FF,4-Seam Fastball,104.6,36.0,411.0,130.77,16.39
2024,2024-08-26,R,WSH,NYY,686747,SL,Slider,106.7,24.0,391.0,212.31,66.07
2024,2024-08-10,R,NYY,TEX,681982,FF,4-Seam Fastball,103.8,33.0,416.0,159.45,34.1
2024,2024-08-10,R,NYY,TEX,642520,CH,Changeup,100.3,32.0,390.0,172.27,48.31
2024,2024-08-08,R,NYY,LAA,542881,FF,4-Seam Fastball,103.2,31.0,411.0,190.86,53.24
2024,2024-07-30,R,PHI,NYY,605400,FC,Cutter,104.9,38.0,417.0,196.29,44.95
2024,2024-07-30,R,PHI,NYY,621381,SL,Slider,98.0,31.0,362.0,233.88,98.3
2024,2024-07-29,R,PHI,NYY,554430,FF,4-Seam Fastball,99.3,38.0,348.0,40.36,87.16
2024,2024-07-29,R,PHI,NYY,596117,EP,Eephus,100.7,35.0,388.0,205.87,63.48
2024,2024-07-21,R,MIA,NYM,681035,SL,Slider,106.9,24.0,399.0,208.39,59.5
2024,2024-07-11,R,HOU,MIA,681869,CH,Changeup,106.0,28.0,397.0,223.55,70.52
2024,2024-07-09,R,HOU,MIA,669854,CH,Changeup,104.7,39.0,375.0,207.66,70.98
2024,2024-06-13,R,NYM,MIA,622098,FC,Cutter,107.6,24.0,426.0,150.42,28.06
2024,2024-06-09,R,MIA,CLE,471911,SI,Sinker,108.1,32.0,440.0,151.48,22.45
2024,2024-05-27,R,SD,MIA,650633,CH,Changeup,107.7,30.0,416.0,192.53,43.86
2024,2024-05-22,R,MIA,MIL,642547,FF,4-Seam Fastball,109.4,24.0,374.0,213.74,75.02
2024,2024-05-18,R,MIA,NYM,622663,SI,Sinker,106.4,27.0,413.0,167.34,36.89
2024,2024-05-07,R,LAD,MIA,808967,FF,4-Seam Fastball,107.2,37.0,404.0,175.17,43.04
2024,2024-04-29,R,MIA,WSH,663623,FF,4-Seam Fastball,104.2,37.0,414.0,148.35,32.9
2024,2024-04-28,R,MIA,WSH,571578,SI,Sinker,102.7,27.0,393.0,65.98,51.72
2024,2024-04-07,R,STL,MIA,502043,FC,Cutter,105.4,32.0,412.0,186.1,43.09
2024,2024-03-31,R,MIA,PIT,663559,SI,Sinker,104.9,26.0,424.0,193.03,40.65
2024,2024-03-19,S,STL,MIA,502043,FC,Cutter,108.7,38.0,,213.0,57.54
2024,2024-03-19,S,STL,MIA,502043,CU,Curveball,106.3,41.0,,212.39,62.99
2024,2024-03-18,S,MIA,HOU,623352,SI,Sinker,103.6,30.0,423.0,192.88,40.96
2023,2023-09-30,R,PIT,MIA,682990,FF,4-Seam Fastball,107.2,42.0,380.0,200.33,64.29
2023,2023-09-17,R,MIA,ATL,450203,FF,4-Seam Fastball,107.6,24.0,417.0,145.39,31.28
2023,2023-09-16,R,MIA,ATL,543859,FF,4-Seam Fastball,107.0,33.0,424.0,176.19,34.81
2023,2023-09-06,R,MIA,LAD,458681,SI,Sinker,103.7,37.0,372.0,42.94,73.41
2023,2023-09-05,R,MIA,LAD,642232,CU,Curveball,109.4,37.0,436.0,222.33,49.97
2023,2023-08-31,R,WSH,MIA,672851,CU,Curveball,102.4,30.0,376.0,226.91,84.11
2023,2023-08-29,R,MIA,TB,650644,CU,Curveball,104.2,29.0,412.0,187.31,43.86
2023,2023-08-18,R,LAD,MIA,664062,FF,4-Seam Fastball,98.4,41.0,360.0,225.51,86.92
2023,2023-08-07,R,CIN,MIA,664139,FC,Cutter,98.2,34.0,357.0,33.29,87.66
2023,2023-08-02,R,MIA,PHI,554430,FC,Cutter,110.8,26.0,424.0,214.81,51.14
2023,2023-06-29,R,BOS,MIA,445276,SI,Sinker,106.4,36.0,414.0,125.29,31.6
2023,2023-06-28,R,BOS,MIA,669684,ST,Sweeper,108.2,27.0,439.0,144.02,21.9
2023,2023-05-13,R,MIA,CIN,664139,FF,4-Seam Fastball,103.8,30.0,400.0,70.47,50.7
2023,2023-05-12,R,MIA,CIN,668933,SL,Slider,103.7,24.0,381.0,201.96,64.69
2023,2023-04-26,R,ATL,MIA,693821,SI,Sinker,102.6,29.0,418.0,112.71,30.28
2023,2023-04-25,R,ATL,MIA,450203,CU,Curveball,104.0,29.0,418.0,164.79,34.11
2023,2023-04-18,R,MIA,SF,596001,CH,Changeup,109.5,39.0,391.0,214.04,63.83
2023,2023-04-08,R,NYM,MIA,673540,ST,Sweeper,105.8,26.0,391.0,211.44,65.44
2023,2023-03-31,R,MIA,NYM,595928,FF,4-Seam Fastball,111.6,26.0,411.0,232.94,70.18
2023,2023-03-17,S,MIA,STL,663855,SI,Sinker,109.5,28.0,412.0,89.31,36.48
2023,2023-03-03,S,STL,MIA,641712,SI,Sinker,107.0,23.0,411.0,92.44,36.08
2022,2022-06-22,R,MIA,COL,596295,SL,Slider,103.4,34.0,414.0,175.56,38.77
2022,2022-06-14,R,PHI,MIA,622554,FF,4-Seam Fastball,100.5,27.0,373.0,208.54,72.43
2022,2022-06-10,R,HOU,MIA,677651,FF,4-Seam Fastball,100.6,28.0,399.0,171.49,44.3
2022,2022-06-10,R,HOU,MIA,677651,FF,4-Seam Fastball,105.2,24.0,407.0,180.08,43.39
2022,2022-06-07,R,MIA,WSH,672851,FF,4-Seam Fastball,102.7,34.0,402.0,127.89,36.8
2022,2022-06-07,R,MIA,WSH,600921,SL,Slider,101.6,33.0,393.0,212.75,65.0
2022,2022-06-01,R,COL,MIA,622608,FF,4-Seam Fastball,104.6,40.0,404.0,201.19,51.71
